index:ID,flavor,:LABEL
XW0,微酸,flavor
XW1,微咸,flavor
XW2,微凉,flavor
XW3,微麻,flavor
XW4,苦,flavor
XW5,淡,flavor
XW6,干,flavor
XW7,涩,flavor
XW8,微苦,flavor
XW9,湿,flavor
XW10,微湿,flavor
XW11,微甜,flavor
XW12,热,flavor
XW13,大热,flavor
XW14,酸,flavor
XW15,微暖,flavor
XW16,微寒,flavor
XW17,辣,flavor
XW18,微热,flavor
XW19,微滑,flavor
XW20,沮,flavor
XW21,微淡,flavor
XW22,咸,flavor
XW23,平,flavor
XW24,有大毒,flavor
XW25,凉,flavor
XW26,麻,flavor
XW27,微沮,flavor
XW28,微温,flavor
XW29,暖,flavor
XW30,微涩,flavor
XW31,寒,flavor
XW32,微冷,flavor
XW33,微干,flavor
XW34,刺激性,flavor
XW35,甘,flavor
XW36,温,flavor
XW37,辛,flavor
XW38,微辛,flavor
XW39,泼辣,flavor
XW40,大寒,flavor
XW41,微平,flavor
XW42,滑,flavor
XW43,有毒,flavor
XW44,有小毒,flavor
XW45,冷,flavor
XW46,无毒,flavor
XW47,甜,flavor
XW48,微辣,flavor
XW49,微甘,flavor
